               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.041435,            0.023607,           0.0085712,             0.51574,             0.91256,             0.72624,             0.39126,            0.050708,             0.02453,             0.00804,           0.0024316,           0.0024316,            0.010032
                  37,            0.041819,            0.024619,           0.0077848,             0.55271,             0.91667,             0.72963,             0.31779,            0.052401,            0.023675,           0.0080881,           0.0022961,           0.0022961,           0.0073961
                  38,            0.039456,            0.023461,           0.0083301,              0.5186,             0.91667,             0.61978,             0.30134,            0.048503,            0.024194,           0.0079189,           0.0021619,           0.0021619,           0.0047619
                  39,            0.039792,            0.026442,           0.0084384,             0.69172,             0.91667,             0.75055,             0.39371,            0.045241,              0.0244,           0.0079225,           0.0020307,           0.0020307,           0.0021307
                  40,            0.039719,            0.027402,           0.0081835,             0.61975,             0.91667,             0.69454,             0.42048,            0.047404,            0.024219,           0.0073625,           0.0018594,           0.0018594,           0.0018594
                  41,            0.036121,            0.022745,           0.0083503,             0.60559,             0.91617,             0.68788,             0.37209,            0.048043,             0.02422,           0.0069953,           0.0018594,           0.0018594,           0.0018594
                  42,            0.039203,            0.027018,           0.0071227,             0.65969,             0.91517,             0.74517,              0.4039,            0.048166,            0.024098,           0.0071708,           0.0017005,           0.0017005,           0.0017005
                  43,             0.03611,            0.024513,           0.0071774,             0.50594,             0.91578,             0.62282,             0.33641,            0.048781,            0.024875,           0.0071595,           0.0015566,           0.0015566,           0.0015566
                  44,            0.035039,            0.024651,           0.0072226,             0.67228,             0.90248,             0.74714,             0.47773,            0.041108,            0.024531,           0.0074814,           0.0014283,           0.0014283,           0.0014283
                  45,            0.029916,            0.023197,           0.0079985,             0.72377,             0.90492,             0.76713,             0.48466,            0.039954,            0.024648,           0.0074754,            0.001316,            0.001316,            0.001316
                  46,            0.028859,            0.022859,           0.0067263,             0.72209,             0.90365,             0.75509,             0.46727,             0.03851,            0.024811,           0.0074709,           0.0012202,           0.0012202,           0.0012202
                  47,            0.026523,            0.021529,           0.0071291,             0.72792,             0.90599,              0.7659,             0.48844,            0.040026,            0.025372,           0.0075723,           0.0011414,           0.0011414,           0.0011414
                  48,            0.028991,            0.024972,            0.008403,             0.72718,             0.90788,             0.76943,             0.49309,            0.039738,            0.025318,            0.007534,           0.0010797,           0.0010797,           0.0010797
                  49,            0.027968,            0.024134,           0.0061977,             0.73227,             0.91064,             0.76783,             0.47472,            0.039759,            0.024746,           0.0072832,           0.0010355,           0.0010355,           0.0010355
